task_id,policy,runs,acceptance_successes,policy_conformant_runs,wall_mean_ms,wall_stdev_ms,prompt_tokens_mean,completion_tokens_mean,approval_requests_mean,worker_count_mean,queue_ms_mean,saved_token_estimate_mean,spawn_suppressions
investigate_code_tests,autonomous,5,5,5,84050.616,17706.694,10713.4,793.2,2,0.2,3369.461,0,0
investigate_code_tests,fixed_one,5,0,5,179208.364,11361.674,14753.8,1898.8,3.8,1,3651.924,0,4
investigate_code_tests,none,5,5,5,46473.54,820.273,4108,530.2,2,0,0.217,0,0
multi_file_refactor,autonomous,5,5,5,98446.649,3362.969,10973.8,1055.2,2,1,0.517,0,0
multi_file_refactor,fixed_one,5,5,5,94295.105,1997.616,16581,751,3,1,0.652,0,0
multi_file_refactor,none,5,5,5,42614.742,6716.348,6018.2,378.2,2,0,0.314,0,0
single_file_bug,autonomous,5,5,5,35095.57,4440.502,6404.6,250.4,1,0,0.198,0,0
single_file_bug,fixed_one,5,5,5,72904.338,9097.028,9574.6,764.8,1,1,0.37,0,0
single_file_bug,none,5,5,5,24729.244,362.673,4862,223,1,0,0.175,0,0
